YEAR,MONTH,DATE,LOCAL,INTERNATIONAL,NO. OF PREPAID CARDS,ATMVOLUME,ATMVALUE_TTM,POSVOLUME,POSVALUE_TTM
2012,1,Jan-12,1288430,2713,33583,2771352,1439,2433015,687
2012,2,Feb-12,1297317,2593,33520,2727050,1467,2254596,640
2012,3,Mar-12,1310370,2660,33822,2665656,1416,2332818,652
2012,4,Apr-12,1313273,2768,34955,2572449,1471,2260378,646
2012,5,May-12,1322643,2797,35107,2622893,1513,2414673,692
2012,6,Jun-12,1321900,2742,35212,2825249,1606,2560523,745
2012,7,Jul-12,1330257,2883,35351,2790994,1644,2624291,777
2012,8,Aug-12,1331255,2650,34632,2656619,1626,2562379,755
2012,9,Sep-12,597708,2857,34446,2693284,1599,2595184,767
2012,10,Oct-12,609598,3016,34508,2926388,1634,2597946,773
2012,11,Nov-12,604166,3196,36786,2808856,1685,2666061,815
2012,12,Dec-12,606572,3570,39182,2927152,1936,3619150,1243
2013,1,Jan-13,596613,3205,38875,2615013,1562,2488866,730
2013,2,Feb-13,590062,3031,39080,2546942,1519,2266230,656
2013,3,Mar-13,606294,3109,39610,2891671,1730,2745323,802
2013,4,Apr-13,613526,3353,41107,2744137,1660,2584968,771
2013,5,May-13,540274,3427,39037,2867503,1713,2785003,829
2013,6,Jun-13,614139,3423,39739,2765603,1701,2747191,836
2013,7,Jul-13,620559,3480,39658,2915858,1831,2628927,818
2013,8,Aug-13,617475,3555,40998,2824662,1791,2672451,823
2013,9,Sep-13,621273,3595,40498,2823328,1735,2563122,795
2013,10,Oct-13,617020,3759,41673,2874712,1657,2621314,809
2013,11,Nov-13,620676,3876,43206,2970771,1812,2700200,848
2013,12,Dec-13,632584,4083,45229,2992032,2054,3460656,1368
2014,1,Jan-14,614198,3800,45651,2613744,1637,2413804,722
2014,2,Feb-14,608296,3740,46998,2679514,1694,2329080,691
2014,3,Mar-14,614338,3719,47505,2799945,1777,2491627,738
2014,4,Apr-14,611900,3994,48161,2766610,1765,2481668,743
2014,5,May-14,623660,4007,48593,2965460,1900,2705801,816
2014,6,Jun-14,619186,4010,48375,2758359,1780,2498454,759
2014,7,Jul-14,615333,4018,48864,2877977,1852,2644794,807
2014,8,Aug-14,625028,4160,49301,2815115,1858,2726722,837
2014,9,Sep-14,625259,4169,50148,2805518,1743,2533875,774
2014,10,Oct-14,626941,4201,51298,2892110,1872,2654544,821
2014,11,Nov-14,627714,4253,49685,2830662,1862,2772993,884
2014,12,Dec-14,651033,4520,55543,3067731,2225,3601495,1291
2015,1,Jan-15,626216,4356,53324,2700144,1770,2567481,781
2015,2,Feb-15,615991,4186,51376,2571867,1684,2311743,694
2015,3,Mar-15,623509,4446,52580,2906420,1975,2694267,816
2015,4,Apr-15,631050,4732,53388,2789345,1837,2575997,777
2015,5,May-15,635091,4850,54166,2955940,1982,2778674,851
2015,6,Jun-15,632958,4804,53834,2767632,1835,2561115,789
2015,7,Jul-15,624559,4979,54002,2900025,1951,2648994,824
2015,8,Aug-15,632840,5061,52945,2791061,1932,2843690,900
2015,9,Sep-15,641722,5238,52810,2843819,1984,3038683,965
2015,10,Oct-15,641443,5346,50307,2995814,2065,3182774,1004
2015,11,Nov-15,638786,5551,48599,2711032,1952,3132815,1019
2015,12,Dec-15,651745,5835,51943,3085258,2268,4110653,1475
2016,1,Jan-16,606122,5721,44926,2646279,1831,2874154,865
2016,2,Feb-16,602988,5595,47159,2602532,1806,2705915,802
2016,3,Mar-16,645461,5724,47203,2817433,1947,2921050,866
2016,4,Apr-16,642391,5911,46134,2738043,1915,3075714,933
2016,5,May-16,648395,6000,37055,2766363,1951,3098846,930
2016,6,Jun-16,633516,6057,36165,2633743,1884,2965153,900
2016,7,Jul-16,641941,6230,38256,2834946,2120,3326302,1036
2016,8,Aug-16,648021,6451,34970,2792959,2020,3169341,970
2016,9,Sep-16,627179,6462,35263,2903778,2128,3149118,979
2016,10,Oct-16,645180,6478,35197,2776908,1997,3103956,963
2016,11,Nov-16,636041,6824,36151,2676956,1911,3210310,1010
2016,12,Dec-16,650947,7093,37417,2855473,2281,4115969,1468
2017,1,Jan-17,637857,7073,36612,2561785,1845,2905869,887
2017,2,Feb-17,618864,6913,35964,2426316,1742,2712575,799
2017,3,Mar-17,623690,7257,36177,2856934,2139,3139629,956
2017,4,Apr-17,597749,7437,34278,2678492,2049,3166338,994
2017,5,May-17,605826,7620,35689,2733911,2039,3189132,976
2017,6,Jun-17,595836,7805,32274,2559837,1911,2960027,892
2017,7,Jul-17,603331,8110,31496,2731186,2046,3274480,1000
2017,8,Aug-17,591837,8616,31958,2622847,1937,3192307,964
2017,9,Sep-17,601516,8560,32196,2673101,1983,3169102,965
2017,10,Oct-17,583966,8485,31881,2421323,1745,3031486,912
2017,11,Nov-17,622160,8542,25737,2794656,1991,3257468,1007
2017,12,Dec-17,620256,8723,34438,2950886,2315,4162956,1446
2018,1,Jan-18,618429,8580,30346,2550505,1886,3325727,1072
2018,2,Feb-18,590357,8212,29198,2389657,1688,2760165,797
2018,3,Mar-18,618537,8506,29223,2603696,1858,3267624,949
2018,4,Apr-18,617452,8753,29159,2559977,1830,3127478,918
2018,5,May-18,616779,8947,28717,2653360,1921,3297236,970
2018,6,Jun-18,611020,8949,28442,2556115,1849,3207642,943
2018,7,Jul-18,613094,9229,28113,2538926,1822,3347953,988
2018,8,Aug-18,606449,9482,30281,2705536,2039,3358349,996
2018,9,Sep-18,602389,9473,27558,2630016,1993,3307755,977
2018,10,Oct-18,608719,9631,27756,2675324,1993,3291068,970
2018,11,Nov-18,608787,10085,29738,2763109,2096,3444529,1042
2018,12,Dec-18,601471,10331,35812,2918925,2435,4407211,1515
2019,1,Jan-19,618701,10326,28850,2614791,1989,3213750,963
2019,2,Feb-19,623582,10058,27370,2609504,1963,3074894,894
2019,3,Mar-19,628395,10189,27204,2704276,2062,3446426,1008
2019,4,Apr-19,634898,10110,26714,2789064,2016,3395570,990
2019,5,May-19,594091,10741,25279,2815777,2135,3546850,1030
2019,6,Jun-19,581737,10910,27108,2623728,2024,3389189,979
2019,7,Jul-19,639969,11504,24870,2807421,2144,3643614,1067
2019,8,Aug-19,632036,11954,24240,2795903,2156,3743717,1094
2019,9,Sep-19,627453,12129,23547,2672332,2049,3446418,1003
2019,10,Oct-19,625995,12587,23664,2865591,2081,3591142,1041
2019,11,Nov-19,631012,13213,23233,2787385,2134,3821850,1133
2019,12,Dec-19,744335,13870,28507,2725633,2251,4961211,1641
2020,1,Jan-20,629789,14015,18599,2770618,2173,3629691,1057
2020,2,Feb-20,630272,13786,14881,2644291,2046,3532304,1000
2020,3,Mar-20,626076,13953,15110,2641122,2084,3542402,1123
